1000,ヘビ使い座
1001,アンドロメダ座
1002,オオカミ座
1003,くじら座
1004,孔雀座
1005,牡羊座
1006,牡牛座
1007,双子座
1008,蟹座
1009,獅子座
1010,乙女座
1011,天秤座
1012,さそり座
1013,射手座
1014,山羊座
1015,水瓶座
1016,魚座
1017,シュレッダー
1500,革命の役のレベルを１上昇させる
1501,フラッシュファイブの役のレベルを１上昇させる
1502,フラッシュハウスの役のレベルを１上昇させる
1503,フェイスファイブの役のレベルを１上昇させる
1504,ファイブカードの役のレベルを１上昇させる
1505,フェイスフォーの役のレベルを１上昇させる
1506,フェイススリーの役のレベルを１上昇させる
1507,ロイヤルフラッシュの役のレベルを１上昇させる
1508,ストレートフラッシュの役のレベルを１上昇させる
1509,フォーカードの役のレベルを１上昇させる
1510,フルハウスの役のレベルを１上昇させる
1511,フラッシュの役のレベルを１上昇させる
1512,ストレートの役のレベルを１上昇させる
1513,スリーカードの役のレベルを１上昇させる
1514,ツーペアの役のレベルを１上昇させる
1515,ワンペアの役のレベルを１上昇させる
1516,ハイカードの役のレベルを１上昇させる
1517,選択されているカードを最大2枚破壊する
1900,アイテム
1901,星座カード
