6000,レッドシール,,,,,,6000代がバフ関係
6001,ブルーシール,,,,,,100の桁はバフの大雑把な種類
6002,パープルシール,,,,,,1の桁は細かいバフの種類
6003,グリーンシール,,,,,,元のバフに５０足されたのがバフの説明
6004,オレンジシール,,,,,,
6005,ブラックシール,,,,,,
6100,フォイル,,,,,,
6101,ホログラム,,,,,,
6102,ポリクローム,,,,,,
6103,マウスジャマー,,,,,,
6200,ボーナス,,,,,,
6201,倍率,,,,,,
6202,ワイルド,,,,,,
6203,グラズ,,,,,,
6204,スチール,,,,,,
6205,ゴールド,,,,,,
6206,ラッキー,,,,,,
6207,ランダム,,,,,,
6208,ブラインド,,,,,,
6300,ネガティブ,,,,,,
6301,セピア,,,,,,
6302,オブジェクトムーブ,,,,,,
6050,プレイした時に再発動,,,,,,
6051,ラウンドの終了時に手札にあると星座の生成,,,,,,
6052,ディスカードした時にアイテムの生成,,,,,,
6053,プレイした時に手札のカードを破壊,,,,,,
6054,"プレイした時にジョーカーの売値を""Y+2""",,,,,,
6055,文字化けをするジョーカーのスコア加算前に”R×N”,,,,,,
6150,基本スコア”B+50”,,,,,,
6151,倍率”R+10”,,,,,,
6152,"倍率""R×1.5""",,,,,,
6153,マウスが動く 倍率”＋５×N”,,,,,,
6250,基本スコア”B+20”,,,,,,
6251,倍率”R+20”,,,,,,
6252,スートを無視,,,,,,
6253,プレイした時に倍率”R×1.5”確立で破壊,,,,,,
6254,手札にあると倍率”R×1.5”,,,,,,
6255,手札にあると”Y＋３”,,,,,,
6256,確立で”Y＋５”もしくは”R＋２０”,,,,,,
6257,手札に来た時に確定する,,,,,,
6258,数字に対して妨害,,,,,,
6350,ジョーカー枠＋１,,,,,,
6351,倍率とスコアの入れ替え,,,,,,
6352,オブジェクトの位置を入れ替え,,,,,,
