20000,ようこそ <size=55>RougeHand</size> へ
20001,だいたいのルールはポーカーと同じ。
20002,5枚までのカードを選び
20003,強い役を作って
20004,目標のスコアを超えられるよう頑張ろう。
20005,5枚までを選択してからディスカードを押すと
20006,選択したカードを捨て
20007,捨てた枚数分だけ山札から引く
20008,ディスカードのカウントが0になっても
20009,ゲームオーバーにはならない
20010,5枚までを選択してからプレイを押すと
20011,ハンドが減る
20012,ハンドが0で目標のスコアに達していないと
20013,ゲームはそこで終了だ。
20014,プレイして目標に達していれば
20015,報酬分の金額を清算することで獲得し
20016,デッキをより自分好みに編集できる。
20017,まずは自力でこのラウンドをクリアしてみよう。
20018,お見事。
20019,ラウンドは先ほどのようにクリアできる
20020,3ラウンドに一度デバフを持ったボスが出現する
20021,ラウンドクリア後はショップに移動する
20022,ここでは様々なものが購入できる。
20023,バフ効果を持ったジョーカー
20024,特定の役のスコアを強化する星座カード
20025,それらが複数提示され
20026,その中から選択できるパック
20027,ショップに並んだものが気に入らなければ
20028,所持金を使用してリロールができる
20029,準備が整ったなら次のラウンドへ行こう。
20030,チュートリアルはここまで
20031,後は自分で頑張ってくれ。
